open_library_id,title,authors,first_publish_year,edition_count,primary_language,language_count,has_full_text
OL100103W,The First Book of Lost Swords,Fred Saberhagen,1986.0,2,eng,1,True
OL100107W,Earth Descended,Fred Saberhagen,1981.0,3,eng,1,True
OL100108W,Shiva in Steel,Fred Saberhagen,1998.0,3,eng,1,True
OL100110W,Ultimate Enemy,Fred Saberhagen,1981.0,3,eng,1,True
OL100111W,Berserker Fury,Fred Saberhagen,1997.0,4,eng,1,True
OL100112W,The Berserker Throne,Fred Saberhagen,1985.0,4,eng,1,True
OL10011325W,ENCYCLOPEDIE DES FORCES SPECIALES DU MONDE TOME I,JeanPierre Husson,2001.0,1,fre,1,False
OL100115W,Veils of Azlaroc,Fred Saberhagen,1978.0,4,eng,1,True
OL10011640W,"Lire, comprendre, rédiger des textes théoriques",Catherine Schnedecker,2001.0,2,fre,1,False
OL100117W,Berserker Wars,Fred Saberhagen,1981.0,5,eng,1,True
OL100118W,The Holmes-Dracula File,Fred Saberhagen; Robin Bloodworth; Fred Saberhagen,1978.0,10,eng,1,True
OL100120W,Berserker Man,Fred Saberhagen,1979.0,7,eng,1,True
OL1001221W,Framework for science education in Germany,Kurt Riquarts,1997.0,3,eng,2,False
OL10012274W,"Convito morale per gli etici, economici, e politici ordinato et intrecciato, si della ragion di stato, come delle principali materie militari",Pio Rossi,1900.0,1,ita,1,False
OL100122W,Berserker's Planet,Fred Saberhagen,1980.0,7,eng,1,True
OL100123W,Empire of the East,Fred Saberhagen,1979.0,13,eng,1,True
OL100125W,Berserker,Fred Saberhagen,1967.0,11,eng,1,True
OL10012643W,L'homme entre science et foi,Paoletti J,1999.0,1,fre,1,False
OL10013037W,De la société à l'histoire,Tony Andreani,1989.0,1,fre,1,False
OL1001356W,Gilberto Freyre e os grandes desafios do século XX,Manuel Correia de Oliveira Andrade,2002.0,1,por,1,False
OL10013602W,Ubïq,Mathieu Briand,2008.0,1,fre,1,False
OL10013639W,La Biologie de Dieu,Patrick Jean-Baptiste,2003.0,1,fre,1,False
OL10013700W,M1 ABRAMS (Materiels Militaires Du Monde),Yves Debay,2006.0,1,fre,1,False
OL10013813W,Jeux de sciences,Marcel Thouin,1990.0,1,fre,1,False
OL10013814W,Jeux de sciences 2,Marcel Thouin,1993.0,1,fre,1,False
OL10013815W,"Jeux de sciences, La matière",Marcel Thouin,1990.0,1,fre,1,False
OL10013816W,"Jeux de sciences, L'espace",Marcel Thouin,1990.0,1,fre,1,False
OL10013817W,"Jeux de sciences, Le temps",Marcel Thouin,1990.0,1,fre,1,False
OL10013818W,"Jeux de sciences, L'énergie",Marcel Thouin,1990.0,1,fre,1,False
OL10013821W,Scienti-jeux 2,Marcel Thouin,1993.0,1,fre,1,False
OL10013822W,"Scienti-jeux, la vie et l'environnement",Marcel Thouin,1989.0,1,fre,1,False
OL10013823W,"Scienti-jeux, L'espace",Marcel Thouin,1989.0,1,fre,1,False
OL10013824W,"Scienti-jeux, Le temps",Marcel Thouin,1989.0,1,fre,1,False
OL10013825W,"Scienti-jeux, l'énergie",Marcel Thouin,1989.0,1,fre,1,False
OL1001388W,Poder político e produção do espaço,Manuel Correia de Oliveira Andrade,1984.0,1,por,1,False
OL10014217W,"De beaux lendemains ? histoire, societe et politique dans la science-fiction",P. G. /Gyger Haver,2002.0,1,fre,1,False
OL10014249W,La construction des sciences,Gérard Fourez,1988.0,2,fre,1,False
OL1001464W,"Ciência, ideologia e poder",Pedro Demo,1988.0,1,por,1,False
OL1001476W,Herrschaft und Geschichte,Pedro Demo,1973.0,1,ger,1,False
OL10014828W,"Das Heer 1950 bis 1970: Konzeption, Organisation, Aufstellung",Helmut R. Hammerich,2006.0,1,ger,1,False
OL10014926W,Entzweiungen: die Krise der Ehe um 1900,Caroline Arni,,1,ger,1,False
OL10015106W,Friedrich Nietzsche and the politics of history,Christian Emden,2008.0,1,eng,1,False
OL10015109W,Walter Benjamin Arch aologie der Moderne: Kulturwissenschaft um 1930,Christian Emden,,1,ger,1,False
OL10015129W,What Practitioners of Tcm Should Know,Friedrich G. Wallner,2006.0,2,eng,1,False
OL10015161W,Naissance De La Science Dans L'italie Antique Et Moderne,Luigi Di Poli,2004.0,1,fre,1,False
OL10015207W,Le Traitement de Problemes Lexicaux Lors de Discussions Scientifiques En Situation Plurilingue,Johanna Miecznikowski,2005.0,1,Unknown,0,False
OL10015226W,Literatura Y Poder,Aleman Manuel Maldonado,2005.0,1,spa,1,False
OL10015315W,Aristoteles,E. Schuetrumpf,1991.0,2,ger,1,False
OL1001531W,Pactos políticos,Luiz Carlos Bresser Pereira,1985.0,2,por,1,False
OL10015331W,"August Der Starke (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Leipzig, Phil.-hist. Klasse)",K. Czok,1991.0,1,ger,1,False
OL10015370W,Philosophie Der Demokratie Bei Kant Und Popper Zum Verhaeltnis Von Freiheit Und Verantwortung,Doering,1995.0,1,eng,2,False
OL10015371W,Zufall Der Forschung Aspekte Zur Kunst Der Erkennt Nis,Doering,1992.0,1,eng,2,False
OL10015429W,Das Vexierbild DES Politischen Dolf Sternberger Als Politischer Aristoteliker,J Pannier,1996.0,1,eng,2,False
OL1001543W,Para ler Fernando Henrique Cardoso,Roberto Goto,1998.0,1,por,1,False
OL10015450W,Carl Schmitts Reichsordnung. Strategie für einen europäischen Grossraum,Felix Blindow,1999.0,1,Unknown,0,False
OL10015468W,Moralkommunikation der Macht: politische Konstruktion sozialer Koh asion im Wohlfahrtsstaat,Karsten Fischer,,1,ger,1,False
OL10015472W,Aby Warburgs Theorie der Kultur: Detail und Sinnhorizont,Bernd Villhauer,2002.0,2,ger,1,False
OL10015481W,Transcultural Wars from the Middle Ages to the 21st Century,ed. Hans-Henning Kortum,2006.0,2,eng,1,False
OL10015513W,"Biographisch-Literarisches Handwerterbuch Der Exakten Naturwissenschaften, J. C. Poggendorff - Datenbank Update",Johann Christian Poggendorff,2003.0,1,ger,1,False
OL10015515W,Biographisch Literarisches Handworterbuch Der Exakten Naturwissenschaften Band 8 Teil 2 L 3&4,Johann Christian Poggendorff,2003.0,1,ger,1,False
OL10015573W,Lehrbuch der Bodenkunde,Hans Joachim Fiedler,1964.0,1,ger,1,False
OL10015588W,Biographisch-Literarisches Handworterbuch Der Exakten Naturwissenschaften,Johann Christian Poggendorff,1991.0,6,ger,1,True
OL1001568W,Antologia,Ruy Barbosa,1953.0,1,por,1,False
OL10016115W,Automatic Semantic Interpretation,Jan Van Bakel,1985.0,2,eng,1,True
OL10016128W,Reading Cases and Exercises,P. Blunt,1993.0,1,eng,1,True
OL10016139W,Scienta Und Ars IM Hoch Und Spatmit 2VOL,I Cramer Ruegenberg,1994.0,2,eng,3,False
OL10016191W,Sprache Und Sprachen in Den Wissenschaften,Herausgegeben Von Herbert Ernst Wiegand,1999.0,1,ger,1,False
OL10016208W,Fardinand Tonnies Gesamtausgabe / Tg,Herausgegeben Von Arno Mohr,1999.0,1,eng,2,False
OL10016211W,Information and library science source book,Schutze,1972.0,1,eng,1,False
OL10016287W,Urkunde Und Experiment,Ulrich Moustakas,2003.0,2,ger,1,False
OL1001629W,Rui Barbosa e o exército,Ruy Barbosa,1949.0,1,por,1,False
OL10016317W,Neuzeitliches Denken,Abel Gunter,2002.0,4,eng,3,False
OL10016335W,"Weltmacht und Weltordnung: der Krieg im Irak, die amerikanische Sicherheitspolitik, Europa und Deutschland",Hans Martin Sieg,2004.0,1,ger,1,False
OL10016355W,Health Promotion and Disease Prevention in the Family,Karl E Bergmann,2003.0,2,eng,1,True
